p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,10.0197134083533,0.673,0.004,0,Myofibroblasts,CASQ2
0,10.0127385596796,0.939,0.037,0,Differentiated Keratinocytes,SBSN
0,9.99573545182567,0.941,0.153,0,Myofibroblasts,MYL9
6.70078176022545e-269,9.96090999911577,0.856,0.137,3.35039088011273e-265,Macrophages,CD68
0,9.92351122192709,0.769,0.015,0,Fibroblasts,DPT
0.0023496739124251,9.89181723843565,0.318,0.013,1,Differentiated Keratinocytes,SERPINA12
1.79132188666076e-55,9.88990791846065,0.87,0.14,8.9566094333038e-52,Melanocytes,MFSD12
7.4650918571149e-90,9.88277734015834,0.879,0.195,3.73254592855745e-86,Neural cells,MATN2
0,9.87334462973943,0.888,0.016,0,Macrophages,PLEK
0,9.85521199311706,0.797,0.062,0,Fibroblasts,GSN
0,9.80269058112711,0.902,0.019,0,Vascular endothelial cells,ACKR1
0,9.73897045832776,0.93,0.158,0,Macrophages,HLA-DQB1
0,9.73883319554749,0.986,0.145,0,Vascular endothelial cells,TM4SF1
0,9.63379505525013,0.951,0.014,0,Vascular endothelial cells,VWF
3.73882584863634e-261,9.63164833635021,0.943,0.11,1.86941292431817e-257,Sweat gland cells,KRT19
0,9.62968625939724,0.952,0.122,0,Vascular endothelial cells,IFI27
0,9.62191452954873,0.788,0.059,0,Fibroblasts,COL6A1
0,9.59982330299258,0.875,0.039,0,T-cells,CCL5
0,9.5865259852202,0.939,0.052,0,Vascular endothelial cells,RBP7
0,9.58489776261944,0.893,0.038,0,Macrophages,FCER1G
1.14614963541032e-96,9.58245973205562,0.9,0.166,5.73074817705158e-93,Neural cells,CADM1
1.63626978666264e-53,9.53901157522604,0.846,0.111,8.1813489333132e-50,Melanocytes,KCNAB2
0,9.53786209895672,0.986,0.192,0,Vascular endothelial cells,GNG11
1.26964209466153e-235,9.50711660215651,0.786,0.03,6.34821047330766e-232,Macrophages,C15orf48
1.69092555619058e-251,9.48499515742846,0.842,0.188,8.45462778095289e-248,Macrophages,INSIG1
0,9.46396188446653,0.578,0.008,0,Fibroblasts,STMN2
