"","Rambow_2018_Mitosis","Rambow_2018_Pigmentation","Rambow_2018_Invasion","Rambow_2018_Neuro","Rambow_2018_MITF_Targets","Rambow_2018_Hypometabolic","Kauffmann_2008_DNA_Repair","Kauffmann_2008_DNA_Replication","Tirosh_2016_AXL","Widmer_2012_Invasive","Widmer_2012_Proliferative","Jeffs_2009_Invasive","Jeffs_2009_Proliferation","Verfaillie_2015_TEAD_Targets","Verfaillie_2015_Invasive","Verfaillie_2015_Proliferative","McNeal_2021_PMA","McNeal_2021_EDN1","Tirosh_2016_MITF","Hoek_2008_MITF_Targets","Tsoi_2018_Undifferentiated","Tsoi_2018_Neural_Crest","Tsoi_2018_Transitory","Tsoi_2018_Melanocytic","Ryu_2011_BRAFV600E_Targets","Belote_2021_Vmel","Belote_2021_Cmel","Andrews_2022_MEL","Andrews_2022_MES","Andrews_2022_NPLAS_Up","Andrews_2022_NPLAS_Down","Belote_2021_ADT","Belote_2021_MSC","Riesenberg_2015_TNF_Response","Wouters_2020_Intermediate","Wouters_2020_Mesenchymal","Wouters_2020_Melanocytic","Hoek_2006_Proliferative","Hoek_2006_Invasive"
"53","KIF18B","","","","IRF4","","FANCG","MSH2","STRA6","","","","TMC6","IDO1","FAM196B","ZNF706","","","PTPRZ1","FAM53B","MYEOV","CYB5R2","","CAPG","","MIA","ADI1","NR4A3","EPHB2","EPHB2","","SNCA","EGFLAM","CXCL1","NAALADL1","LINC00922","ESRRA","","WNT5A"
"54","TUBB","","","","SDCBP","","BRIP1","MYBBP1A","C9orf89","","","","AGPAT6","IFI44L","COL1A2","FOXO4","","","CNDP2","NARS2","MICAL2","CSRP2","","CDH3","","AMOTL1","GAS7","OCA2","ERRFI1","ERRFI1","","EMP3","MCAM","CXCL10","HCN1","TMEM200A","ORAI1","","WNT5B"
"55","CENPW","","","","TMEM117","","FANCL","MYST2","DDR1","","","","CHCHD6","IL20RB","ANXA10","WDFY1","","","CTSK","PPM1H","MGST1","CCL2","","CDH1","","LINC00632","APOD","OVOS2","ESM1","ESM1","","CTSF","DCLK1","CXCL2","TRIM48","IDO1","NPM3","",""
"56","KIFC1","","","","BCL2A1","","FANCM","MYT2","TBC1D8","","","","ROPN1","IL6","MKX","DHTKD1","","","BNC2","GPNMB","MECOM","CADM3","","ATP6V0D2","","KLHL24","PTGDS","P2RX7","EXT1","EXT1","","EZR","SOX2-OT","CYB5R2","SH3GL2","FPR1","NUDT8","",""
"57","","","","","LYPLAL1","","FEN1","NAP1L1","METTL7B","","","","PRKD3","IL8","WNT7B","CNNM3","","","TOB1","UBL3","LYPD6B","CADM1","","ABCD1","","MYC","CD82","PHACTR1","F3","F3","","COMT","F2RL2","CYP4B1","THBS1","VGLL2","AC141586.5","",""
"58","","","","","CTSK","","FLJ35220","NCOA6","GADD45A","","","","CRISPLD1","INHBE","ARMC4","MMS19","","","CELF2","INPP4B","LAMA5","CD96","","ABCB5","","ENC1","VAMP5","PIR","FBN1","FBN1","","CDH3","HS3ST6","CYR61","FXYD3","GPR39","BNC2","",""
"59","","","","","KIAA1715","","FRAP1","NFIA","UPP1","","","","C20orf108","IRF1","FGF5","PSEN2","","","ROPN1","APOE","KISS1","CTSS","","APOLD1","","ZNF608","SH3BGRL3","PLEKHH1","FGF5","FGF5","","PMEL","TCEAL7","DDX58","RP11-399D6.2","C6orf141","ACOT7","",""
"60","","","","","ADAMTS16","","GADD45A","NFIB","SPATA13","","","","","ITGB1","MUC13","GBAS","","","TMEM98","IVNS1ABP","KRT86","CHST2","","ANKRD30B","","SOBP","REXO2","PLP1","FHL1","FHL1","","FRZB","FZD2","DHX58","MEST","WNT7B","NIN","",""
"61","","","","","MYO10","","GADD45G","NFIC","GLRX","","","","","ITGB4","UTY","PCMT1","","","CTSA","STX3","KRT81","CHST1","","ADCY2","","SNTB2","TPPP3","PLXNC1","FLNC","FLNC","","PCSK2","SFRP2","DKK1","KRT27","COL4A6","LITAF","",""
"62","","","","","ST8SIA6","","G22P1","NFIX","PPFIBP1","","","","","KRT80","GALNT5","FARP1","","","LIMA1","TUBB4","KRT80","CACNA2D3","","ADAM23","","BACH1","TYRP1","PMEL","FSCN1","FSCN1","","MBP","CAMK1D","DNER","CDCP1","PAPPA","TMEM55A","",""
"63","","","","","GPR158","","GTF2H1","NT5M","PMAIP1","","","","","KRT81","GDF5","FAM89A","","","CD99","SLC7A8","KRT8","BST1","","","","IRX3","CSTB","PRDM7","FZD2","FZD2","","CD9","TRIL","DRAM1","NGFR","ASTN1","PAAF1","",""
"64","","","","","SORBS2","","GTF2H2","OPRK1","COL6A1","","","","","LAYN","LRRC15","MSI2","","","IGSF8","WDR91","KRT7","ABCA6","","","","CSNK2B","LGALS3BP","RAB27A","GAS6","GAS6","","GPR143","TEAD3","EBI3","FREM1","CLDN11","HMG20B","",""
"65","","","","","APCDD1","","GTF2H3","ORC1L","JMJD6","","","","","LMO7","KAL1","RPS12","","","FDFT1","PLA1A","KRT18","ANGPTL4","","","","DENND2A","SOD1","RAP1GAP","GBP1","GBP1","","BSG","PSD3","EMR1","ASB11","HEPH","LRP8","",""
"66","","","","","FBXO32","","GTF2H4","ORC2L","CIB1","","","","","LRRC17","SPANXD","TSPAN3","","","CPNE3","APOO","JUP","AIM2","","","","FMNL2","ACP5","RENBP","GBP3","GBP3","","BACE2","N4BP2","ESM1","DNASE2B","GDF5","FRAT1","",""
"67","","","","","KIT","","GTF2H5","ORC3L","HPCAL1","","","","","MECOM","LRRC17","ANKRD46","","","SLC35B4","APOLD1","IL7R","","","","","BANP","NDUFA1","RNF144A","GLIPR1","GLIPR1","","ARL2","SNHG18","F3","LOXL3","CCL26","PIGH","",""
"68","","","","","TNFRSF14","","H2AFX","ORC4L","MT2A","","","","","MT2A","SMOC1","DMXL2","","","EIF3E","GYG2","IL4R","","","","","CHP1","NPC2","RRAGD","GLIS3","GLIS3","","TPP1","FBLN2","FABP6","ANKRD18A","AC006262.4","RP11-295D4.1","",""
"69","","","","","TRIM63","","HEL308","ORC5L","ZCCHC6","","","","","MYLK","NTNG1","HS1BP3","","","TNFRSF14","BCL2","IRS1","","","","","ZNF429","COX8A","RUNX3","GPR176","GPR176","","LGALS3BP","CKS2","FAM19A3","VIT","ACKR5","RP5-821D11.7","",""
"70","","","","","C1orf51","","HMGB1","ORC6L","IL8","","","","","NEXN","BDNF","STX3","","","VAT1","CITED1","IGFN1","","","","","CSGALNACT1","LAMTOR5","SCARB1","GPR39","GPR39","","SEPW1","OLFML1","FCRLA","COL1A2","CA9","CHCHD3","",""
"71","","","","","S100B","","HMGB2","PCNA","TRIM47","","","","","NMNAT2","IFI27","SREBF2","","","HPS5","KIAA1598","HES7","","","","","CTBP2","SRP14","SEMA6A","HECW2","HECW2","","CDC42EP3","TET2","MYOF","TNFAIP6","CACNA2D3","LACE1","",""
"72","","","","","DMKN","","HUS1","Pfs2","SESN2","","","","","NNMT","ZFY","TMEM64","","","CDK2","MBP","GDA","","","","","MYLIP","LGALS1","SGK1","HEG1","HEG1","","TM7SF3","C1R","FLT3LG","OLIG2","RGS4","TBRG4","",""
"73","","","","","FAIM3","","KUB3","PNKP","PVRL2","","","","","NR2F2","PAPPA","ABRACL","","","CAPN3","BIRC7","GLIS2","","","","","LINC00518","HLA-B","SHTN1","HRH1","HRH1","","CISD1","PLAC9","FMNL3","LRRC15","AKR1C3","OTX1","",""
"74","","","","","DAPL1","","LIG1","POLA","DRAP1","","","","","NTNG1","LOXL2","SSH2","","","SUSD5","STXBP1","GATA2","","","","","CHD1","LY6E","SLC16A6","IGFBP6","IGFBP6","","MT1E","HAS2","FN1","POMC","NPBWR1","FAM45A","",""
"75","","","","","FYCO1","","LIG3","POLA2","MTHFD2","","","","","PDGFB","IL1A","SNHG16","","","ADSL","CDK5R1","GPRC5C","","","","","PPP1R10","EID1","SLC19A2","IRF1","IRF1","","RETSAT","PHLDB2","FSTL3","MATN2","GLIPR1","PARVB","",""
"76","","","","","ANXA5","","LIG4","POLB","SDC4","","","","","PLAU","USP9Y","TOM1","","","PIGY","RHOQ","GPRC5A","","","","","OPN3","PARK7","SLC1A4","ITGA11","ITGA11","","BCAN","PDE7B","GALNT18","ADAMTS9","PTGER3","NRL","",""
"77","","","","","HPGD","","MAD1L1","POLD1","NNMT","","","","","PODXL","TSPYL5","PPP2R5A","","","PON2","AMDHD2","FMNL1","","","","","POLR2A","PFN1","SLC24A5","ITGA2","ITGA2","","CYSTM1","DNM1","GFPT2","S100A3","IL32","GAS2L3","",""
"78","","","","","SLC45A2","","MAD2L1","POLD2","PPL","","","","","POSTN","SPANXC","DTNB","","","SLC19A1","D4S234E","FOXA1","","","","","CTSC","IGFBP7","SLC45A2","ITGA5","ITGA5","","SLCO4A1-AS1","SMO","GLIPR1","SCRG1","BDKRB2","ABHD6","",""
"79","","","","","PTPLA","","MAD2L2","POLD3","TIMP1","","","","","PPARG","CCBE1","MYLIP","","","KLF6","MDH1","FLNC","","","","","PSAT1","PPP1CB","SLC7A5","ITGB1","ITGB1","","CYGB","EFNA2","HCAR3","F2RL1","INHBA","PRMT7","",""
"80","","","","","GPRC5B","","MBD1","POLD4","RHOC","","","","","PPP1R14B","LYPD6B","OSBPL1A","","","MAGED1","PROS1","FERMT1","","","","","PEAK1","AHNAK","SNCA","KCNMA1","KCNMA1","","LOC729732","PITX2","HBEGF","XKR5","ADAMTSL1","FIG4","",""
"81","","","","","CHRM1","","MBD2","POLE2","GNB2","","","","","PTPRF","PAPPA2","MED15","","","ERGIC3","RIPK5","FAT4","","","","","RASIP1","MAL","SORT1","KRT18","KRT18","","SAT1","CBLB","HHEX","GJA5","LYPD6B","TST","",""
"82","","","","","GJB1","","MBD3","POLE3","PDXK","","","","","PVRL3","ADAMTS6","FAM217B","","","PIR","HPGD","FAM196B","","","","","WIPI1","VEPH1","SOX10","KRT8","KRT8","","CST3","SRGAP3","HLA-B","TLR5","PLA2G5","SNHG16","",""
"83","","","","","ITGAM","","MBD4","POLE4","CTNNA1","","","","","PXDN","C7orf69","TRAF4","","","SLC25A5","RP1-21O18.1","ELFN2","","","","","BCL2","TSPO","SOX6","LIFR","LIFR","","C4orf48","LAMA2","HLA-A","HLA-B","CDH13","PQLC2","",""
"84","","","","","CLCN5","","MBD5","POLG","CD52","","","","","RASGRF2","CPA3","DGCR6L","","","JUN","CA14","EGFR","","","","","FADS1","MFSD12","ST3GAL6","LMO7","LMO7","","MT1M","CREB3L1","HLA-H","TRIM51GP","TMEM100","VPS18","",""
"85","","","","","FBXL14","","MGC90512","POLG2","SLC2A1","","","","","RIN1","IGFN1","SEC11C","","","ARPC1B","SCARB1","DSE","","","","","TSPAN14","DMKN","ST6GALNAC3","LOX","LOX","","ARPC1B","NXN","HMGA2","SOX9","INHBB","DHX33","",""
"86","","","","","NINJ2","","MGMT","POLH","BACH1","","","","","SAMD9L","C3","ZNF138","","","SLC19A2","DAPK1","DMBT1","","","","","NRIP1","NDUFA4","STK32A","LOXL2","LOXL2","","CEP72","SEPP1","RAB27B","LRFN5","COLEC10","SHMT2","",""
"87","","","","","PDP2","","MLH1","POLI","ARHGEF2","","","","","SCN9A","G0S2","PEBP1","","","AKR7A2","GMPR","DIO2","","","","","DAB2","PSMB4","TBC1D16","LPAR1","LPAR1","","ATP1B1","ARHGAP28","HSD11B1","PCDHA10","CCDC80","SLC25A5","",""
"88","","","","","TPRN","","MLH3","POLL","UBE2J1","","","","","SECTM1","TRHDE","THEM6","","","HPGD","HRK","DOCK2","","","","","ZNF276","SKP1","TBC1D7","LRIG1","LRIG1","","RAB7A","PCSK9","ICAM1","TGFBI","GJA1","HPS1","",""
"89","","","","","B3GNT5","","MMS19L","POLM","CD82","","","","","SERPINB7","ITGA11","AGPAT6","","","TBC1D7","SOX13","CYP2S1","","","","","ORAI2","COX6A1","TNFRSF14","LTBP1","LTBP1","","NPC2","PDGFRB","ICAM4","LAMC2","AC145676.2","SGSM3","",""
"90","","","","","MSC","","MNAT1","POLN","ZYX","","","","","SH3RF1","CDA","NECAB3","","","TFAP2A","IL6R","CRIM1","","","","","TTN","PRSS23","TRIM2","LTBP2","LTBP2","","CAPG","IGF2","IFI27","SLITRK6","RP11-527D7.1","GPAM","",""
"91","","","","","AP1S2","","MPG","POLQ","P4HA2","","","","","SLC14A1","CTD-2171N6.1","TYRO3","","","PTPLAD1","PSEN2","CDK15","","","","","TOB2","COMT","TRIM63","MAP1B","MAP1B","","ADCY2","MEGF6","IFI44","RP1-140K8.5","ITGA11","IDH3A","",""
"92","","","","","TSPAN10","","MRE11A","POLRMT","PEA15","","","","","SLC15A3","ABCC9","GYPC","","","SNCA","TMC6","CORO6","","","","","AP002990.1","COL4A2","TRPM1","MICAL2","MICAL2","","NSG1","NEDD4L","IFI44L","SCML4","RP11-554I8.2","C12orf76","",""
"93","","","","","PTTG1IP","","MRE11B","POLS","GLRX2","","","","","SMAGP","APBB1IP","SRP14-AS1","","","GNPTAB","MFAP3L","COLEC10","","","","","AC020916.1","GNG2","TSPAN10","MYLK","MYLK","","AGPAT2","UBTD2","IFI6","PCSK5","TAGLN","EIF3L","",""
"94","","","","","ZBTB37","","MSH2","PPIA","HAPLN3","","","","","SNED1","IL6","NHLRC3","","","DNAJA4","PFKFB2","CCDC88C","","","","","H1-4","DAD1","TTYH2","NNMT","NNMT","","SLC25A4","LAMC3","IFIH1","EHF","PDGFRB","FBXO25","",""
"95","","","","","GPRIN3","","MSH3","PPP2CA","RAB36","","","","","SOD3","FAM43B","ZFYVE27","","","APOE","SORT1","CCDC69","","","","","IQCN","NDUFA13","TYR","NRG1","NRG1","","ADGRG1","PRICKLE1","IGFBP3","AP006222.2","VCAM1","STAM","",""
"96","","","","","NTF3","","MSH4","PPP2CB","SOD2","","","","","ST8SIA5","ITGBL1","GSTM4","","","MTMR2","MICAL1","F3","","","","","LINC02367","RPL23","WDR91","NRP1","NRP1","","H2AFJ","CLMP","IGFN1","CTD-2531D15.4","ADAMTS6","IVNS1ABP","",""
"97","","","","","PRAME","","MSH5","PPP2R1A","ESYT2","","","","","TENM2","CREB3L1","BIN3","","","ATP6V1B2","MPPED2","F2RL1","","","","","","ATP5F1E","ZFYVE16","NTM","NTM","","SLC24A5","EPHB3","IKBKE","SLC9A7P1","FOXF1","ROR1","",""
"98","","","","","NAT8L","","MSH6","PPP2R1B","IL18BP","","","","","TNFRSF9","TTTY15","MYO10","","","C16orf62","ACSL1","CLU","","","","","","H3P6","ZNF704","NTN4","NTN4","","IRF4","LRIG3","IL1A","RP4-565E6.1","TINAGL1","ANKRD39","",""
"99","","","","","C2orf88","","MUS81","PR48","FGFRL1","","","","","TOX2","FOXF1","CTNNB1","","","EXOSC4","GAPDHS","CDYL2","","","","","","COPS9","","OSMR","OSMR","","HMG20B","BCL11B","IL1B","RP11-644L4.1","C5orf46","FADD","",""
"100","","","","","RILPL1","","MUTYH","PRIM2A","PLEC","","","","","TPM1","FOXR2","ATM","","","STAM","ATP6V1B2","CITED2","","","","","","CAVIN3","","PAPPA","PAPPA","","IRS2","FAM171A1","IL24","PLA1A","EFEMP1","DANCR","",""
"101","","","","","SLC24A5","","N4BP2","PTMS","","","","","","TPM4","PSG5","SLC2A11","","","","ACO2","CARD11","","","","","","","","PDE1C","PDE1C","","HSPB1","SERPING1","IL27RA","CRYAB","COLEC12","AC012307.3","",""
"102","","","","","APOD","","NBS1","PTTG1","","","","","","TRABD2A","VGLL3","TP53","","","","RNF144A","CPA4","","","","","","","","PDGFC","PDGFC","","ST3GAL4","SFRP1","IL32","ZNF521","GALNT13","PTER","",""
"103","","","","","MBP","","NEIL1","PTTG2","","","","","","TRHDE","FOXG1","SNX30","","","","ATP6V1G1","CREB3L1","","","","","","","","PLAU","PLAU","","TRPM1","GFRA1","IL4I1","NFATC2","CD163L1","CENPM","",""
"104","","","","","PAX9","","NEIL2","PTTG3","","","","","","TRHDE-AS1","TNFSF18","DHX33","","","","SGK3","CNN1","","","","","","","","PLPP3","PLPP3","","DHRS7","DPT","IL4R","RBM47","MSLN","RMND1","",""
"105","","","","","AGAP6","","NEIL3","PURA","","","","","","TRIM58","RAB27B","FNBP1L","","","","ATP6V1C1","CALB2","","","","","","","","PODXL","PODXL","","PON2","LRIG1","IL6","DNALI1","EMCN","ATP6V0A1","",""
"106","","","","","FAM196B","","NTHL1","RAD17","","","","","","TRPC4","IDO1","PPP1R3D","","","","GM2A","CDH4","","","","","","","","PTGFR","PTGFR","","GRN","FHL1","IL7R","TMEM176B","ANXA10","TOMM7","",""
"107","","","","","GPR56","","NUDT1","RAD9A","","","","","","VCAM1","FAM180A","PAX3","","","","SLC1A4","BTBD11","","","","","","","","PXDN","PXDN","","LINC00673","PLK2","IL8","DHRS3","CADM3","CECR5","",""
"108","","","","","DIO2","","NUDT3","RBBP4","","","","","","VEGFC","PARM1","MPC1","","","","LYST","BDNF","","","","","","","","RAB27B","RAB27B","","CYB5R3","TRO","IDO1","LINC00941","PTGER2","GOT1","",""
"109","","","","","MXD3","","OGG1","RBM14","","","","","","VIPR1","RAB3B","FAM63B","","","","USP48","BASP1","","","","","","","","RAC2","RAC2","","ATP6AP1","LIFR","IQCD","PRKG2","AADAC","AFG3L2","",""
"110","","","","","","","PCNA","RBMS1","","","","","","ZNF185","KRT81","MOB1B","","","","KCNN2","BNC1","","","","","","","","RARRES3","RARRES3","","CSRP1","RAB8B","IRAK2","FN1","NPPB","UBE3D","",""
"111","","","","","","","RAD51AP1","REPIN1","","","","","","ZNF385D","MEOX2","HPS1","","","","","ATP8B1","","","","","","","","RGS4","RGS4","","CAV1","DHRS3","IRF1","OASL","LOXL2","GHITM","",""
"112","","","","","","","PMS1","REV1L","","","","","","ZNF804A","GREM1","PRMT7","","","","","ABCG2","","","","","","","","RIN2","RIN2","","GAPDHS","MAGI1","IRF7","CTSE","CDH10","TPK1","",""
"113","","","","","","","PMS2","REV3L","","","","","","","ECSCR","LINC00263","","","","","ARMC4","","","","","","","","RND3","RND3","","MLPH","DENND2A","IRF9","DNAH9","ACKR3","USF2","",""
"114","","","","","","","PMS2L1","RFC1","","","","","","","GALNT6","EIF4EBP2","","","","","ANKRD1","","","","","","","","RRAS","RRAS","","DAZAP2","ZEB1","ISG15","TRABD2B","TGM2","GGA1","",""
"115","","","","","","","PMS2L2","RFC2","","","","","","","IL32","ACSL3","","","","","AR","","","","","","","","RRAS2","RRAS2","","VAMP8","PLXDC2","ITGA1","SCHIP1","ABCC3","RAD9A","",""
"116","","","","","","","PMS2L4","RFC3","","","","","","","CD163L1","GM2A","","","","","AMIGO2","","","","","","","","SDC4","SDC4","","PEPD","NELL2","ITGA5","RP11-400K9.4","TRHDE-AS1","MT-RNR2","",""
"117","","","","","","","PMS2L5","RFC4","","","","","","","TRHDE-AS1","SFXN4","","","","","ADAMTSL1","","","","","","","","SERPINB7","SERPINB7","","ABCA5","GPC6","ITGB8","SHISA2","SLC12A8","RPUSD3","",""
"118","","","","","","","PMS2L8","RFC5","","","","","","","C6orf141","CELSR2","","","","","ACSL5","","","","","","","","SERPINE1","SERPINE1","","ENDOD1","SHOX2","JAM2","RP11-151D14.1","CD7","AIFM1","",""
"119","","","","","","","PMS2L3","RPA1","","","","","","","MMP19","ATP1A1","","","","","","","","","","","","","SLC14A1","SLC14A1","","SORT1","CRMP1","JUNB","ABCA17P","RP11-426C22.4","DDX11-AS1","",""
"120","","","","","","","PNKP","RPA2","","","","","","","THBD","TYSND1","","","","","","","","","","","","","SLC38A1","SLC38A1","","ATP1B3","FMOD","KIAA1199","RP11-343B18.2","C4B","RAD51B","",""
"121","","","","","","","POLA","RPA3","","","","","","","LDB2","R3HCC1L","","","","","","","","","","","","","SLC9A7","SLC9A7","","TECR","SNAI1","KRT6B","RP11-569G13.2","KLHL4","UBAC2-AS1","",""
"122","","","","","","","POLA2","RRM1","","","","","","","PBX1","RASSF3","","","","","","","","","","","","","SLIT2","SLIT2","","DPP7","GJC1","KRT7","RLBP1","IL31RA","FBXO7","",""
"123","","","","","","","POLB","RRM2","","","","","","","GPR68","AMDHD2","","","","","","","","","","","","","SMAGP","SMAGP","","RAMP1","KDELC2","KRT81","TGFA","HSPB3","ST7","",""
"124","","","","","","","POLD1","S100A11","","","","","","","BDKRB2","IDI1","","","","","","","","","","","","","SMURF2","SMURF2","","CD44","EBF1","KYNU","CNTNAP3","KRT15","SLC22A18","",""
"125","","","","","","","POLD2","SE20-4","","","","","","","TENM2","RHOQ","","","","","","","","","","","","","SOX9","SOX9","","TFAP2B","BIN1","LAMB3","GRID2","CFI","KLHL24","",""
"126","","","","","","","POLD3","SET","","","","","","","CFI","PACSIN2","","","","","","","","","","","","","SPEG","SPEG","","GYPC","MAFB","LCP1","RP11-116N8.4","S1PR1","DIP2C","",""
"127","","","","","","","POLD4","SMC1L1","","","","","","","EDIL3","TFAP2A","","","","","","","","","","","","","SPOCK1","SPOCK1","","PFKFB2","BMP4","LIF","GBP2","COL13A1","NEDD4L","",""
"128","","","","","","","POLE","SMC2L1","","","","","","","LINC00707","PIP4K2A","","","","","","","","","","","","","SQRDL","SQRDL","","MIA","IER5L","NEURL3","RP11-199B17.1","LRRC17","FAM102B","",""
"129","","","","","","","POLE2","SMC3L1","","","","","","","MIR137HG","CHD7","","","","","","","","","","","","","SRPX2","SRPX2","","HPGD","GXYLT2","LMO2","TINAGL1","SIGLEC10","SRRD","",""
"130","","","","","","","POLE3","SMC4L1","","","","","","","GBP1","FZD3","","","","","","","","","","","","","STC2","STC2","","NEAT1","CREB5","MAN1C1","HLA-DRB1","MGP","DPH5","",""
"131","","","","","","","POLE4","SPHAR","","","","","","","F2RL1","ALDH4A1","","","","","","","","","","","","","TCF4","TCF4","","TAPBP","SDC1","LINC00944","EGFEM1P","OXTR","OSBPL1A","",""
"132","","","","","","","POLG1","SSBP1","","","","","","","PDE1C","TMEM251","","","","","","","","","","","","","TFPI","TFPI","","FAM69C","ADGRL2","MIR100HG","ZNF69","GATA3","LOH12CR1","",""
"133","","","","","","","POLG2","SUPT5H","","","","","","","RTN1","EPM2A","","","","","","","","","","","","","TGFBI","TGFBI","","PAG1","FMNL2","LINC00623","MIA","SECTM1","RBM15","",""
"134","","","","","","","POLH","SUV39H1","","","","","","","AXL","ATP6V0E2","","","","","","","","","","","","","TGFBR2","TGFBR2","","SDCBP","NOTCH3","LOC730256","HLA-DPA1","CLCA2","KCNAB1","",""
"135","","","","","","","POLI","TEP1","","","","","","","ABI3BP","FAM101B","","","","","","","","","","","","","TGM2","TGM2","","ARL6IP5","CYYR1","LOX","RXRG","EGFR","METTL12","",""
"136","","","","","","","POLK","TERT","","","","","","","TRIML2","TPT1-AS1","","","","","","","","","","","","","THSD4","THSD4","","SGK1","DAB2","LSAMP","WNK4","TREM1","CD63","",""
"137","","","","","","","POLL","TFAM","","","","","","","NEXN","FAM161A","","","","","","","","","","","","","TLE4","TLE4","","SOX10","SEC24D","MAFF","CSMD1","GPR110","HS1BP3","",""
"138","","","","","","","POLM","TNIP1","","","","","","","CA9","PLD1","","","","","","","","","","","","","TMEM158","TMEM158","","BMPR1B","ZNF618","MAMLD1","MGC4294","C10orf55","YARS","",""
"139","","","","","","","POLN","TOM1L2","","","","","","","TCF4","MYO5A","","","","","","","","","","","","","TMEM200A","TMEM200A","","ILVBL","LOC645166","MAP1B","UBA7","DIO2","MRPL44","",""
"140","","","","","","","POLQ","TOPBP1","","","","","","","NID2","ARHGAP19","","","","","","","","","","","","","TNFAIP2","TNFAIP2","","FDFT1","DSEL","MAP3K8","KIF5A","KRT7","TMEM53","",""
"141","","","","","","","POLS","TREX1","","","","","","","MYCT1","SDCBP","","","","","","","","","","","","","TPBG","TPBG","","GNPTAB","IRX1","MARCH4","KRT18","CTD-2091N23.1","RAB3IL1","",""
"142","","","","","","","PRKDC","TXNDC","","","","","","","HS3ST3A1","INPP4B","","","","","","","","","","","","","TPM1","TPM1","","PMP22","MEX3A","MGLL","FAM19A3","EDIL3","RAVER2","",""
"143","","","","","","","PTTG1","UBE1","","","","","","","CLMP","MEGF9","","","","","","","","","","","","","TSPAN5","TSPAN5","","LPPR4","ZNF711","MIR1275","PCDHGA12","PSG6","ADO","",""
"144","","","","","","","RAD1","UBE2A","","","","","","","SLC15A3","RP11-1055B8.7","","","","","","","","","","","","","VCAN","VCAN","","RRAGD","KIAA1217","MIR21","CASP1","GDF6","NDUFV1","",""
"145","","","","","","","RAD9A","UBE2B","","","","","","","GSTM1","SLC19A2","","","","","","","","","","","","","VEGFC","VEGFC","","CPQ","IRF1","MIR302C","SYN1","LINC00842","PPT2","",""
"146","","","","","","","RAD17","UBP1","","","","","","","SH2D4A","WIPI1","","","","","","","","","","","","","VGLL3","VGLL3","","CTSB","RAB31","MMP1","RP11-982M15.6","HLA-DQA1","BEND3","",""
"147","","","","","","","RAD18","WDR33","","","","","","","COL13A1","KLHL22","","","","","","","","","","","","","WNT5A","WNT5A","","LYST","PTCH2","MMP9","THRB","UBE2QL1","TMEM8A","",""
"148","","","","","","","RAD21","WRNIP1","","","","","","","GLIS3","C1orf85","","","","","","","","","","","","","WNT5B","WNT5B","","TSPAN4","VSTM4","MSC","S100A4","GPR115","SS18L1","",""
"149","","","","","","","RAD23A","","","","","","","","BNC1","FUOM","","","","","","","","","","","","","ZEB1","ZEB1","","STXBP6","CCBE1","MT1G","PPP2R2B","STRA6","ORC1","",""
"150","","","","","","","RAD23B","","","","","","","","POU2F2","SLC6A8","","","","","","","","","","","","","","","","CRIP2","COL23A1","MT1IP","M1AP","ECSCR","SSU72","",""
"151","","","","","","","RAD50","","","","","","","","SPATA18","DAAM1","","","","","","","","","","","","","","","","GAS6","INHBA","NAMPT","KDR","KRT34","RP11-295G20.2","",""
"152","","","","","","","RAD51","","","","","","","","COL5A1","ERMP1","","","","","","","","","","","","","","","","FMN1","GSTM5","NFE2L3","GPR64","KRT81","THNSL1","",""
"153","","","","","","","RAD51C","","","","","","","","AOX1","LPCAT1","","","","","","","","","","","","","","","","KCNJ13","TCF12","NFKB1","LMCD1","HRH1","CDIP1","",""
"154","","","","","","","RAD51L1","","","","","","","","S1PR1","SMPD2","","","","","","","","","","","","","","","","MT1X","FILIP1L","NFKB2","CHST1","AC007879.7","RP11-344P13.3","",""
"155","","","","","","","RAD51L3","","","","","","","","SCN9A","SLC39A11","","","","","","","","","","","","","","","","TFAP2A","LOC284454","NFKBIA","LPAL2","SIRPG","AK9","",""
"156","","","","","","","RAD52","","","","","","","","MT1E","POLR3G","","","","","","","","","","","","","","","","NAPA","NNAT","NFKBIE","RIN2","KRTAP1-5","MAD2L1BP","",""
"157","","","","","","","RAD52B","","","","","","","","EFEMP1","OSER1-AS1","","","","","","","","","","","","","","","","KLF9","FBLN5","NGFR","NPR1","JPH2","RP5-886K2.3","",""
"158","","","","","","","RAD54B","","","","","","","","GLIPR1","OAT","","","","","","","","","","","","","","","","CTSZ","RARRES2","NLRP3","PREX1","FOXG1","RP11-166P13.3","",""
"159","","","","","","","RAD54L","","","","","","","","GBP4","TULP4","","","","","","","","","","","","","","","","ALX1","CACNA1G","NPTX1","RPSAP52","OTOR","GPR3","",""
"160","","","","","","","RAD9A","","","","","","","","RP11-371I1.2","ATP6V0A1","","","","","","","","","","","","","","","","FBXO32","IGSF10","NR4A2","HCP5","NGEF","NNT","",""
"161","","","","","","","RAD9B","","","","","","","","OAS2","CYTH3","","","","","","","","","","","","","","","","TBC1D16","C14orf132","NRP1","CD36","TNFRSF11B","CACHD1","",""
"162","","","","","","","RBBP4","","","","","","","","NMNAT2","ZBTB10","","","","","","","","","","","","","","","","HLA-DPA1","TCF3","NT5E","CTSK","AFP","NDUFAF4","",""
