X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
699,0,1.034058026,0.653,0.206,0,Vascular endothelial cells,ECE1
700,0,1.032095899,0.5,0.001,0,Melanocytes,FCRLA
701,0,1.031200659,0.427,0.007,0,Melanocytes,CDH19
702,0,1.030537185,0.277,0.005,0,Neural cells,AATK
703,0,1.030316435,0.435,0.023,0,Immune cells,LCP2
704,1.1e-122,1.02977876,0.28,0.043,2.59e-118,Sweat gland cells,GPR183
705,1.53e-42,1.028367883,0.624,0.233,3.62e-38,Melanocytes,NR4A3
706,0,1.027535882,0.551,0.01,0,Melanocytes,FMN1
707,0,1.027499079,0.273,0.005,0,Vascular endothelial cells,CCL23
708,0,1.026135654,0.57,0.207,0,Smooth muscle cells,HOPX
709,0,1.025788729,0.81,0.094,0,Keratinocytes,VAMP8
710,5.28e-105,1.02288117,0.64,0.13,1.25e-100,Melanocytes,CLCN7
711,5.6e-55,1.02270144,0.607,0.177,1.32e-50,Melanocytes,DUSP4
712,0,1.020535984,0.702,0.207,0,Fibroblasts,NFIX
713,0,1.02042887,0.684,0.054,0,Keratinocytes,DENND2C
714,1.45e-223,1.018514735,0.271,0.025,3.43e-219,Sweat gland cells,CORO1A
715,0,1.017431269,0.528,0.058,0,Vascular endothelial cells,RALGAPA2
716,0,1.016826778,0.522,0.005,0,Melanocytes,OCA2
717,0,1.014277803,0.552,0.011,0,Keratinocytes,HCAR2
718,0,1.014232883,0.682,0.005,0,Keratinocytes,PKP3
719,1.04e-59,1.014103762,0.558,0.201,2.46e-55,Neural cells,SGCB
720,0,1.012148377,0.506,0.024,0,Vascular endothelial cells,CXorf36
721,1.08e-151,1.011743125,0.481,0.19,2.54e-147,Immune cells,ISG20
722,0,1.011554796,0.509,0.069,0,Immune cells,RBM47
723,0,1.011513508,0.566,0.085,0,Immune cells,FAM49A
724,2.91e-62,1.010720229,0.524,0.217,6.88e-58,Sweat gland cells,CDC42SE2
725,0,1.010423841,0.623,0.112,0,Vascular endothelial cells,SNCG
726,2.19e-76,1.008610549,0.68,0.192,5.17e-72,Melanocytes,PLOD3
727,5.9e-108,1.008212742,0.612,0.108,1.39e-103,Melanocytes,SLCO4A1
728,6.23e-38,1.007869947,0.385,0.175,1.47e-33,Sweat gland cells,MBP
729,1.28e-38,1.007485631,0.455,0.174,3.03e-34,Neural cells,SECISBP2L
730,3.89e-99,1.007153022,0.401,0.069,9.19e-95,Neural cells,IL1RAP
731,0,1.006970868,0.691,0.229,0,Keratinocytes,GLTP
732,1.23e-146,1.006738747,0.38,0.043,2.9e-142,Neural cells,SLC15A3
733,0,1.006096282,0.491,0.03,0,Vascular endothelial cells,GIMAP1
734,3.73e-169,1.005919521,0.562,0.064,8.82e-165,Melanocytes,SLC7A8
735,3.03e-133,1.005891851,0.446,0.066,7.17e-129,Neural cells,TNS3
736,0,1.005891376,0.764,0.246,0,Keratinocytes,HMGCS1
737,0,1.005546684,0.405,0.001,0,Lymphatic endothelial cells,PKHD1L1
738,0,1.004188338,0.479,0.031,0,Vascular endothelial cells,TM4SF18
739,0,1.00335644,0.583,0.1,0,Fibroblasts,LSP1
740,0,1.002922574,0.59,0.188,0,Vascular endothelial cells,CYTH1
741,0,1.002604161,0.499,0.103,0,Vascular endothelial cells,TNFRSF10D
742,0,1.002470868,0.472,0.214,0,Smooth muscle cells,TGFBI
743,7.54e-209,1.002092175,0.563,0.178,1.78e-204,Lymphatic endothelial cells,GIMAP7
744,0,1.00201331,0.504,0.086,0,Lymphatic endothelial cells,PGM5
745,0,1.001428475,0.62,0.012,0,Keratinocytes,NSG1
746,2.72e-106,1.000666521,0.326,0.043,6.42e-102,Neural cells,DOCK5
