p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.39560727586532,0.551,0.046,0,Macrophages,HLA-DQB2
0,2.3821169074954,0.724,0.03,0,Lymphatic endothelial cells,PROX1
0,2.38051680223633,0.622,0.084,0,Pericytes,MYLK
0,2.37161420591439,0.752,0.182,0,Fibroblasts,C1S
0,2.36470431113138,0.544,0.234,0,Fibroblasts,IGFBP6
4.26271404878078e-177,2.35342762631556,0.805,0.084,9.10174703695672e-173,Melanocytes,C4orf48
0,2.34887447418147,0.531,0.114,0,Pericytes,NDUFA4L2
0,2.33752040687725,0.49,0.011,0,Keratincytes,LGALS7
0,2.33437541200161,0.789,0.095,0,Lymphatic endothelial cells,ECSCR
0,2.33122885264991,0.733,0.051,0,Vascular endothelial cells,AC011526.1
0,2.32993228317604,0.525,0.042,0,Pericytes,ADRA2A
0,2.32774877266225,0.399,0.056,0,Vascular endothelial cells,STC1
0,2.32217753716457,0.589,0.035,0,Macrophages,CLEC10A
0,2.28240574335593,0.674,0.21,0,T-cells,DUSP2
0,2.27801557440708,0.369,0.012,0,Pericytes,RERGL
0,2.27120384672316,0.659,0.114,0,Fibroblasts,VCAN
1.04990592957376e-254,2.26238911465254,0.793,0.133,2.24175914082589e-250,Lymphatic endothelial cells,SNCG
0,2.25765510136732,0.702,0.057,0,Vascular endothelial cells,MCTP1
0,2.24553635585288,0.43,0.03,0,Pericytes,GJA4
0,2.2400649533285,0.634,0.092,0,T-cells,PTPRC
0,2.23607962841125,0.732,0.065,0,Keratincytes,CLDN1
0,2.22762516662622,0.686,0.088,0,Vascular endothelial cells,CLDN5
1.22328035936403e-193,2.22561249638958,0.813,0.08,2.61194822331407e-189,Melanocytes,SNCA
0,2.21509895604844,0.669,0.053,0,Vascular endothelial cells,PLVAP
0,2.21398767570018,0.56,0.077,0,Macrophages,ATP1B1
4.916211315668e-76,2.19092059664198,0.797,0.184,1.04970944012143e-71,Melanocytes,QPCT
0,2.18409909456668,0.637,0.22,0,Macrophages,SGK1
0,2.17503836797107,0.6,0.097,0,T-cells,SAMSN1
1.65191916044488e-160,2.17145737423168,0.724,0.077,3.5271777913819e-156,Melanocytes,NSG1
0,2.16810787239568,0.488,0.025,0,Pericytes,SORBS2
0,2.15987287323739,0.677,0.037,0,Lymphatic endothelial cells,SDPR
0,2.1548200821993,0.824,0.113,0,Keratincytes,FXYD3
0,2.15288960214181,0.802,0.177,0,Pericytes,CPE
0,2.14247499236461,0.669,0.149,0,T-cells,HCST
0,2.13442658599615,0.581,0.099,0,Fibroblasts,MEG3
0,2.13337528029052,0.541,0.068,0,T-cells,CORO1A
5.01303786052124e-133,2.13014465334359,0.526,0.113,1.0703838439785e-128,Erythrocytes,SLC25A39
0,2.12429637636249,0.637,0.144,0,Fibroblasts,C1R
0,2.11720016969962,0.721,0.129,0,Vascular endothelial cells,RAMP2
0,2.11638354214597,0.766,0.22,0,Macrophages,CTSZ
0,2.10882234154605,0.393,0.089,0,Fibroblasts,WISP2
0,2.10811343221501,0.461,0.024,0,T-cells,TRAT1
6.51489012466049e-268,2.09069848059843,0.718,0.103,1.39105933941751e-263,Lymphatic endothelial cells,PPFIBP1
0,2.08847414783424,0.597,0.138,0,Fibroblasts,CFH
0,2.08206284342362,0.514,0.115,0,Macrophages,RGS1
0,2.07046546148147,0.682,0.217,0,Fibroblasts,FSTL1
0,2.06586596153296,0.389,0.066,0,Fibroblasts,MFAP5
0,2.0642182706916,0.6,0.047,0,Pericytes,TINAGL1
0,2.06394119661933,0.768,0.06,0,Keratincytes,DSC3
0,2.0629902079565,0.44,0.022,0,Macrophages,CD1E
