p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.26196663793923e-108,10.8557641738941,0.455,0.103,5.42267064322489e-105,Macrophages,SERPINB9
0,10.8513555821299,0.708,0.086,0,Keratinocytes,SPINT2
6.80547929612424e-291,10.8463388569762,0.518,0.026,2.92431445354459e-287,Keratinocytes,DSG1
0,10.8287354651279,0.962,0.172,0,Myofibroblasts,MYL9
7.73628178431845e-214,10.7780977650739,0.569,0.047,3.32428028272164e-210,Myofibroblasts,ADRA2A
0,10.7694025504089,0.462,0.022,0,Vascular endothelial cells,ADGRL4
0,10.7562331361068,0.536,0.049,0,Fibroblasts,SPON2
0,10.667698337636,0.845,0.077,0,Fibroblasts,COL6A2
0,10.6574477443217,0.795,0.05,0,Fibroblasts,DCN
2.13582456974433e-102,10.6382142121415,0.857,0.163,9.1776381761914e-99,Melanocytes ,MITF
0,10.6207436651032,0.606,0.139,0,Macrophages,CXCL16
0,10.5998481671224,0.518,0.057,0,Fibroblasts,IGFBP6
0,10.5929162308817,0.575,0.077,0,Keratinocytes,LYPD3
0,10.5878047190277,0.567,0.029,0,Keratinocytes,IRF6
1.64765476037735e-179,10.5785655582809,0.519,0.138,7.07997250534145e-176,Macrophages,CPVL
7.64797217115623e-119,10.5507558608671,0.528,0.101,3.28633364194583e-115,Lymphatic endothelial cells,LMO2
2.74808688026334e-292,10.5441583273285,0.32,0.018,1.18085293244916e-288,Vascular endothelial cells,FAM110D
0.000587358033222146,10.5380055112204,0.285,0.225,1,Myofibroblasts,UAP1
0,10.4981887834568,0.351,0.021,0,Vascular endothelial cells,CYYR1
0,10.4942163575844,0.804,0.076,0,Keratinocytes,AQP3
3.66474245313764e-136,10.4749986742694,0.93,0.245,1.57473983211325e-132,Melanocytes ,QPCT
0,10.4092066033408,0.542,0.045,0,Keratinocytes,KLC3
1.50525681199809e-98,10.3962379641239,0.517,0.084,6.46808852115579e-95,T-cells,RUNX3
0,10.3957776224169,0.724,0.06,0,Fibroblasts,MFAP4
0,10.3801175849901,0.593,0.033,0,Keratinocytes,COL17A1
2.29617216746226e-235,10.3643341374062,0.595,0.221,9.86665180358532e-232,Macrophages,INSIG1
4.90515191366861e-275,10.3552249039031,0.64,0.053,2.1077437773034e-271,Myofibroblasts,LGI4
0,10.3511723013716,0.65,0.08,0,Fibroblasts,FSTL1
0,10.3398301591119,0.697,0.058,0,Fibroblasts,CTSK
7.2057342804863e-237,10.3061232129238,0.363,0.095,3.09630402032496e-233,Vascular endothelial cells,EVA1C
0,10.3041281998229,0.69,0.061,0,Fibroblasts,CRABP2
0,10.2976822346426,0.519,0.048,0,Fibroblasts,TNXB
0,10.1781356731937,0.613,0.022,0,Macrophages,PLEK
0,10.1748776450257,0.597,0.093,0,Fibroblasts,MGP
2.34040442855777e-19,10.1594027737221,0.335,0.185,1.00567178295127e-15,T-cells,CMC1
0,10.131743089748,0.487,0.028,0,Vascular endothelial cells,RAMP3
9.4836289245316e-08,10.1193683484981,0.538,0.191,0.000407511534887123,Melanocytes ,PLEKHA5
1.0695631577777e-306,10.1124580543475,0.362,0.02,4.59591288897076e-303,Fibroblasts,SPON1
0,10.0667703353872,0.748,0.138,0,Myofibroblasts,LBH
3.53634642988573e-190,10.047582078622,0.768,0.174,1.5195680609219e-186,Lymphatic endothelial cells,TFPI
1.82482960823382e-51,10.0237194969759,0.403,0.158,7.84129282658071e-48,Lymphatic endothelial cells,OTUD4
0,10.0208564595002,0.782,0.21,0,Myofibroblasts,DDIT4
9.44532900468388e-128,9.998738552759,0.906,0.119,4.05865787331267e-124,Melanocytes ,PLP1
0,9.94347931261844,0.346,0.011,0,Fibroblasts,ELANE
5.46654831270237e-46,9.93812313888133,0.417,0.184,2.34897580996821e-42,Macrophages,GRB2
8.07639963581973e-119,9.93524626933076,0.86,0.154,3.47042892351174e-115,Melanocytes ,GMPR
9.44473170112727e-150,9.93410330487054,0.309,0.018,4.05840121197439e-146,Fibroblasts,FNDC1
0,9.92334878837069,0.676,0.023,0,Macrophages,SPI1
0,9.81776090421876,0.66,0.028,0,Vascular endothelial cells,ACKR1
1.21129917589973e-22,9.77883944162932,0.422,0.067,5.20495255884114e-19,Myofibroblasts,EFHD1
0,9.77349109250599,0.596,0.039,0,Keratinocytes,EPPK1
9.87189343988922e-102,9.76959130519088,0.511,0.136,4.2419526111204e-98,Lymphatic endothelial cells,EFNA5
0,9.75291991766584,0.558,0.023,0,Macrophages,IL1B
1.12781048506973e-232,9.72404862446011,0.472,0.04,4.84620165434464e-229,Macrophages,S100B
0,9.71133936219979,0.902,0.072,0,T-cells,CXCR4
0,9.65228198675887,0.442,0.111,0,Vascular endothelial cells,ENG
0,9.63477626700155,0.631,0.093,0,Keratinocytes,TFAP2C
0,9.63406470542654,0.356,0.031,0,Fibroblasts,ABCA8
1.23568231303329e-190,9.62004357612189,0.564,0.069,5.30972689910403e-187,Myofibroblasts,ISYNA1
7.34734288041868e-185,9.59645351722455,0.997,0.052,3.15715323571591e-181,Melanocytes ,MLANA
0,9.56520730394914,0.637,0.046,0,Macrophages,IL1R2
1.09182023664058e-140,9.54968939059892,0.948,0.179,4.69155155684458e-137,Melanocytes ,OSTM1
0,9.54807444027155,0.985,0.034,0,Lymphatic endothelial cells,CCL21
8.81411682775331e-49,9.49123928301653,0.375,0.142,3.7874260008856e-45,Myofibroblasts,CRTC3
1.47101117553038e-129,9.46529586466519,0.519,0.203,6.32093502125402e-126,Myofibroblasts,MAT2A
0,9.45508236334271,0.583,0.077,0,Vascular endothelial cells,RAMP2
4.41022828007657e-269,9.45114469201526,0.354,0.033,1.8950750919489e-265,Fibroblasts,GAS1
0,9.40757617519639,0.637,0.047,0,T-cells,SAMSN1
2.71692690780168e-307,9.39304635375343,0.364,0.023,1.16746349228238e-303,Fibroblasts,CES1
1.35956686848892e-234,9.37822178105795,0.325,0.118,5.84205883389687e-231,Vascular endothelial cells,SLC9A3R2
0,9.37750603860761,0.487,0.025,0,Fibroblasts,CD248
0,9.32299036919606,0.585,0.067,0,Fibroblasts,CTHRC1
4.5548163945305e-29,9.30994996756649,0.274,0.187,1.95720460472976e-25,Lymphatic endothelial cells,YTHDF3
3.08613709817805e-185,9.30286636027897,1,0.076,1.32611311108711e-181,Melanocytes ,TYRP1
4.00517168761574e-116,9.28996156711194,0.522,0.045,1.72102227416848e-112,Myofibroblasts,AVPR1A
0,9.27772237303849,0.351,0.031,0,Vascular endothelial cells,FLT1
5.79985138295691e-17,9.2673750830034,0.393,0.211,2.49219613925658e-13,Myofibroblasts,SNAI2
6.08812429199858e-280,9.26186794581365,0.622,0.206,2.61606700827179e-276,Macrophages,PLAUR
1.56853799837601e-131,9.24452871517136,0.637,0.161,6.74000777902172e-128,Lymphatic endothelial cells,ELK3
5.11460412865818e-31,9.1905861993995,0.368,0.137,2.19774539408442e-27,Myofibroblasts,TGFB3
0,9.18655062269672,0.758,0.081,0,Macrophages,CD83
0,9.18076912687885,0.937,0.174,0,Macrophages,CD74
1.28245814381829e-89,9.17186084016209,0.85,0.193,5.5107226439872e-86,Melanocytes ,ZKSCAN1
0,9.16673098845855,0.692,0.106,0,T-cells,TUBA4A
1.0715107009187e-102,9.12223685689638,0.429,0.183,4.60428148184768e-99,Myofibroblasts,CCNH
0,9.10393835819929,0.457,0.088,0,Vascular endothelial cells,RCAN1
7.4666621993424e-206,9.08921514063932,0.366,0.048,3.20842474705743e-202,Fibroblasts,TNFAIP6
0,9.08656784527945,0.553,0.049,0,Fibroblasts,MFAP5
1.95256232372638e-245,9.071439696436,0.628,0.219,8.39016030505225e-242,T-cells,TGFB1
0,9.0618098925767,0.363,0.017,0,Fibroblasts,HTRA3
0,9.05387207691136,0.389,0.065,0,Fibroblasts,COL16A1
0,9.03372296648871,0.69,0.183,0,Macrophages,COTL1
0,9.03108618816768,0.981,0.106,0,Myofibroblasts,TAGLN
0,9.01952757917752,0.371,0.076,0,Fibroblasts,SLPI
3.99566955532036e-18,9.01111192455787,0.263,0.212,1.71693920792116e-14,T-cells,POLR3GL
0,8.93011873256869,0.341,0.025,0,Vascular endothelial cells,S1PR1
4.7770989243945e-104,8.90207292961811,0.874,0.211,2.05271940781232e-100,Melanocytes ,SYNGR1
6.73065799376079e-110,8.89585633148513,0.85,0.241,2.89216373991901e-106,Melanocytes ,CTSF
0,8.89577015722189,0.662,0.165,0,Macrophages,PMAIP1
3.46820909100181e-79,8.88979569032479,0.489,0.12,1.49028944640348e-75,Myofibroblasts,ID4
2.68691377127018e-176,8.87736715691845,0.965,0.049,1.1545668475148e-172,Melanocytes ,TRPM1
2.60702953891554e-18,8.87697778298543,0.291,0.151,1.12024059287201e-14,Macrophages,PLXND1
0,8.86985349465189,0.575,0.088,0,Keratinocytes,SDC1
